2013 Rural-urban Continuum Codes,,,,
,,,,
,,,,
Column,Description,,,
FIPS,State-County FIPS Code,,,
State,State abbreviation,,,
County_Name,County name,,,
Population_2010,Total population 2010 (From 2010 Census of Population Summary File 1),,,
RUCC_2013,"Rural-urban Continuum Codes, 2013",,,
Description ,Description of code,,,
,,,,
2013 Rural-urban Continuum Codes,,,,
,,,,
Metropolitan Counties*,,,,
Code,Description,,,
1,Counties in metro areas of 1 million population or more,,,
2,"Counties in metro areas of 250,000 to 1 million population",,,
3,"Counties in metro areas of fewer than 250,000 population",,,
,,,,
Nonmetropolitan Counties,,,,
Code,Description,,,
4,"Urban population of 20,000 or more, adjacent to a metro area",,,
5,"Urban population of 20,000 or more, not adjacent to a metro area",,,
6,"Urban population of 2,500 to 19,999, adjacent to a metro area",,,
7,"Urban population of 2,500 to 19,999, not adjacent to a metro area",,,
8,"Completely rural or less than 2,500 urban population, adjacent to a metro area",,,
9,"Completely rural or less than 2,500 urban population, not adjacent to a metro area",,,
,,,,
,,,,
"Note: In Virginia, nonmetro independent cities were combined with their counties of origin when computing the Rural-urban Continuum Codes. The following combinations were made: ",,,,
,,,,
FIPS Code,City,FIPS Code,County,
51580,Covington City    ,51005,Alleghany County,
51640,Galax City    ,51035,Carroll County,
51595,Emporia City  ,51081,Greensville County,
51690,Martinsville City  ,51089,Henry County,
51590,Danville City         ,51143,Pittsylvania County,
51530,Buena Vista City,51163,Rockbridge County,
51678,Lexington City                                                                                          ,51163,Rockbridge County,
51620,Franklin City     ,51175,Southhampton County,
,,,,
,,,,
*Metropolitan areas are based on the Office of Management and Budget (OMB) delineation as of February 2013. ,,,,